file,category,parent_session_id,session_title,size_bytes,jsonl_lines,api_calls,total_tokens,cost_usd,first_ts_utc,last_ts_utc
~/.claude/projects/-Users-ericwang-instawork-Boson-Tech-Support-Agent/3811db31-ecc1-4333-9a90-e804d115f442.jsonl,main-session,3811db31-ecc1-4333-9a90-e804d115f442,,19803,22,1,33604,0.17,2026-06-01T22:49:23.370Z,2026-06-01T22:49:23.370Z
~/.claude/projects/-Users-ericwang-instawork-dev-agents-knowledge/cd133fbe-332a-4e72-a9ac-b331d3a550fd.jsonl,main-session,cd133fbe-332a-4e72-a9ac-b331d3a550fd,,19966,21,2,70298,0.23,2026-06-02T19:49:00.658Z,2026-06-02T19:49:04.103Z
~/.claude/projects/-Users-ericwang-instawork/87b55a59-62f2-4b6d-8c11-5a2d754ae150.jsonl,main-session,87b55a59-62f2-4b6d-8c11-5a2d754ae150,,53346,53,10,362488,0.61,2026-06-02T18:46:39.111Z,2026-06-02T18:49:13.168Z
~/.claude/projects/-Users-ericwang/05458ece-e7ca-4ab1-8d84-b54a4cb17d32.jsonl,main-session,05458ece-e7ca-4ab1-8d84-b54a4cb17d32,,371302,95,15,1130931,2.24,2026-05-21T20:57:52.450Z,2026-05-21T21:02:59.985Z
~/.claude/projects/-Users-ericwang/0b553557-abb2-4bc3-84ee-ecc2f15a23df.jsonl,main-session,0b553557-abb2-4bc3-84ee-ecc2f15a23df,yabai,340054,182,31,1935881,2.63,2026-05-26T14:30:19.863Z,2026-05-26T15:02:55.535Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a.jsonl,main-session,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,36181244,9593,1001,341620755,264.49,2026-05-17T01:11:20.852Z,2026-05-26T14:25:35.649Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-a23c799964b2f0af5.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,186008,57,11,650819,0.14,2026-05-19T14:20:05.972Z,2026-05-19T14:21:02.890Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-a2b1461aaa4c639b5.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,25935,12,2,63158,0.05,2026-05-19T22:20:41.375Z,2026-05-19T22:20:48.733Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-a6e1bbf7e21a65f94.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,27153,6,2,64497,0.05,2026-05-19T21:19:50.063Z,2026-05-19T21:19:55.982Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-aac8d861c055bfdc1.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,66216,8,2,77308,0.04,2026-05-19T21:20:05.179Z,2026-05-19T21:20:17.402Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-ab04edba4b5af8626.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,50585,21,3,109361,0.04,2026-05-19T22:20:49.040Z,2026-05-19T22:21:06.041Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-accfe4fa3a3f0ad12.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,68151,15,5,203241,0.4,2026-05-18T19:42:25.366Z,2026-05-18T19:44:40.650Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-acee24e0371f4b921.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,163945,19,5,278958,0.09,2026-05-19T21:19:56.892Z,2026-05-19T21:20:14.449Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-ad39c030269cfdc36.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,30719,12,4,127456,0.02,2026-05-19T22:20:55.374Z,2026-05-19T22:21:09.414Z
~/.claude/projects/-Users-ericwang/12b91faf-9792-4b82-b406-82a8dec5962a/subagents/agent-afd75ec19c52d6d84.jsonl,subagent,12b91faf-9792-4b82-b406-82a8dec5962a,captain dash revamp,127966,55,20,871879,0.17,2026-05-19T14:19:50.150Z,2026-05-19T14:20:47.377Z
~/.claude/projects/-Users-ericwang/1707c6b7-4768-456d-9af9-38918d073f56.jsonl,main-session,1707c6b7-4768-456d-9af9-38918d073f56,,23204,15,1,36660,0.34,2026-06-08T14:41:15.661Z,2026-06-08T14:41:15.661Z
~/.claude/projects/-Users-ericwang/1b8879d5-62a9-471c-8bd4-dea22270807d.jsonl,main-session,1b8879d5-62a9-471c-8bd4-dea22270807d,,2757,11,0,0,0.0,,
~/.claude/projects/-Users-ericwang/1c7d2627-9804-4a55-b5a2-283aec533fa0.jsonl,main-session,1c7d2627-9804-4a55-b5a2-283aec533fa0,,1361605,306,48,4870649,7.24,2026-05-10T15:30:16.912Z,2026-05-13T18:41:34.706Z
~/.claude/projects/-Users-ericwang/1d29c345-35f0-48eb-8a95-cb064f84c7e4.jsonl,main-session,1d29c345-35f0-48eb-8a95-cb064f84c7e4,boson chatbot,406503,135,19,1479089,3.43,2026-05-25T02:33:59.698Z,2026-05-25T04:07:30.669Z
